Date,BKNG
2024-12-18,4906.890625
2024-12-19,4943.6669921875
2024-12-20,5011.3544921875
2024-12-23,5025.77734375
2024-12-24,5085.15576171875
2024-12-26,5058.45458984375
2024-12-27,5000.23681640625
2024-12-30,4954.06005859375
2024-12-31,4931.77490234375
2025-01-02,4888.96337890625
2025-01-03,4867.68212890625
2025-01-06,4873.57861328125
2025-01-07,4760.7265625
2025-01-08,4836.48291015625
2025-01-10,4704.59326171875
2025-01-13,4728.76416015625
2025-01-14,4743.56396484375
2025-01-15,4794.01904296875
2025-01-16,4829.11767578125
2025-01-17,4890.46240234375
2025-01-21,4651.845703125
2025-01-22,4585.14111328125
2025-01-23,4782.6044921875
2025-01-24,4729.7470703125
2025-01-27,4640.87646484375
2025-01-28,4650.12841796875
2025-01-29,4687.0341796875
2025-01-30,4739.1171875
2025-01-31,4702.6181640625
2025-02-03,4658.2880859375
2025-02-04,4644.4306640625
2025-02-05,4664.72998046875
2025-02-06,4744.45703125
2025-02-07,4851.4228515625
2025-02-10,4877.24072265625
2025-02-11,4861.19970703125
2025-02-12,4981.0986328125
2025-02-13,4971.75830078125
2025-02-14,5007.19482421875
2025-02-18,5103.95556640625
2025-02-19,5072.90673828125
2025-02-20,4981.21826171875
2025-02-21,4953.83203125
2025-02-24,5011.8408203125
2025-02-25,4996.703125
2025-02-26,4997.41796875
2025-02-27,4881.85595703125
2025-02-28,4979.0146484375
2025-03-03,4909.669921875
2025-03-04,4862.27197265625
2025-03-05,4881.19189453125
2025-03-06,4661.33544921875
2025-03-07,4648.4140625
2025-03-10,4427.251953125
2025-03-11,4330.154296875
2025-03-12,4377.01220703125
2025-03-13,4272.45361328125
2025-03-14,4441.625
2025-03-17,4539.01220703125
2025-03-18,4447.62255859375
2025-03-19,4567.35986328125
2025-03-20,4564.5146484375
2025-03-21,4592.59423828125
2025-03-24,4684.560546875
2025-03-25,4752.38623046875
2025-03-26,4738.70947265625
2025-03-27,4727.40966796875
2025-03-28,4609.48388671875
2025-03-31,4582.2998046875
2025-04-01,4660.71826171875
2025-04-02,4664.2490234375
2025-04-03,4426.75439453125
2025-04-04,4261.134765625
2025-04-07,4222.0048828125
2025-04-08,4141.90478515625
2025-04-09,4591.6591796875
2025-04-10,4470.62939453125
2025-04-11,4562.0283203125
2025-04-14,4532.49658203125
2025-04-15,4587.7998046875
2025-04-16,4516.58203125
2025-04-17,4548.87890625
2025-04-21,4413.923828125
2025-04-22,4573.5166015625
2025-04-23,4705.755859375
2025-04-24,4802.1787109375
2025-04-25,4812.5927734375
2025-04-28,4863.82763671875
2025-04-29,4883.00439453125
2025-04-30,5072.03955078125
2025-05-01,5074.177734375
2025-05-02,5175.005859375
2025-05-05,5163.388671875
2025-05-06,5134.79248046875
2025-05-07,5168.4814453125
2025-05-08,5137.6767578125
2025-05-09,5045.4423828125
2025-05-12,5167.23828125
2025-05-13,5234.30810546875
2025-05-14,5188.68310546875
2025-05-15,5209.759765625
2025-05-16,5288.66552734375
2025-05-19,5349.27001953125
2025-05-20,5282.3095703125
2025-05-21,5265.03271484375
2025-05-22,5313.373046875
2025-05-23,5304.3115234375
2025-05-27,5422.6171875
2025-05-28,5446.0107421875
2025-05-29,5472.607421875
2025-05-30,5489.447265625
2025-06-02,5509.32080078125
2025-06-03,5445.82177734375
2025-06-04,5527.314453125
2025-06-05,5540.76171875
2025-06-06,5594.25732421875
2025-06-09,5519.330078125
2025-06-10,5468.0859375
2025-06-11,5446.46484375
2025-06-12,5442.15087890625
2025-06-13,5279.173828125
2025-06-16,5349.5771484375
2025-06-17,5281.83349609375
2025-06-18,5267.09716796875
2025-06-20,5284.80322265625
2025-06-23,5314.08642578125
2025-06-24,5462.357421875
2025-06-25,5465.4658203125
2025-06-26,5575.71484375
2025-06-27,5672.49267578125
2025-06-30,5768.25439453125
2025-07-01,5709.95654296875
2025-07-02,5681.0908203125
2025-07-03,5696.07666015625
2025-07-07,5794.83740234375
2025-07-08,5692.61962890625
2025-07-09,5647.49365234375
2025-07-10,5697.78076171875
2025-07-11,5696.3759765625
2025-07-14,5745.138671875
2025-07-15,5654.95654296875
2025-07-16,5637.61962890625
2025-07-17,5663.3359375
2025-07-18,5682.22705078125
2025-07-21,5656.5703125
2025-07-22,5754.59375
2025-07-23,5715.52587890625
2025-07-24,5629.5185546875
2025-07-25,5611.853515625
2025-07-28,5658.16455078125
2025-07-29,5570.50341796875
2025-07-30,5592.56396484375
2025-07-31,5484.10791015625
2025-08-01,5366.76513671875
2025-08-04,5456.2392578125
2025-08-05,5438.0751953125
2025-08-06,5516.2412109375
2025-08-07,5412.4091796875
2025-08-08,5386.31396484375
2025-08-11,5344.8046875
2025-08-12,5441.7421875
2025-08-13,5428.17138671875
2025-08-14,5464.88818359375
2025-08-15,5434.5185546875
2025-08-18,5511.94677734375
2025-08-19,5563.837890625
2025-08-20,5619.33544921875
2025-08-21,5690.0390625
2025-08-22,5700.1318359375
2025-08-25,5682.9248046875
2025-08-26,5684.99755859375
2025-08-27,5595.32373046875
2025-08-28,5631.501953125
2025-08-29,5578.75341796875
2025-09-02,5485.59228515625
2025-09-03,5562.71240234375
2025-09-04,5565.611328125
2025-09-05,5495.28564453125
2025-09-08,5559.064453125
2025-09-09,5561.18994140625
2025-09-10,5464.35546875
2025-09-11,5487.5009765625
2025-09-12,5447.896484375
2025-09-15,5549.212890625
2025-09-16,5464.5546875
2025-09-17,5543.0947265625
2025-09-18,5432.486328125
2025-09-19,5434.04296875
2025-09-22,5446.708984375
2025-09-23,5498.5
2025-09-24,5515.04833984375
2025-09-25,5565.08251953125
2025-09-26,5537.4052734375
2025-09-29,5444.3935546875
2025-09-30,5388.95947265625
2025-10-01,5340.3427734375
2025-10-02,5414.19091796875
2025-10-03,5407.70361328125
2025-10-06,5409.52001953125
2025-10-07,5231.98974609375
2025-10-08,5121.43115234375
2025-10-09,5182.015625
2025-10-10,5155.0673828125
2025-10-13,5243.8173828125
2025-10-14,5270.05712890625
2025-10-15,5071.1572265625
2025-10-16,4942.85302734375
2025-10-17,5060.33837890625
2025-10-20,5132.06103515625
2025-10-21,5275.90576171875
2025-10-22,5220.6015625
2025-10-23,5083.74365234375
2025-10-24,5136.3330078125
2025-10-27,5244.3662109375
2025-10-28,5110.79150390625
2025-10-29,5066.1669921875
2025-10-30,5070.5087890625
2025-10-31,5068.0439453125
2025-11-03,5020.943359375
2025-11-04,4982.2275390625
2025-11-05,4901.771484375
2025-11-06,4889.6943359375
2025-11-07,4930.56640625
2025-11-10,4948.93115234375
2025-11-11,5041.0048828125
2025-11-12,5165.69677734375
2025-11-13,5065.91748046875
2025-11-14,5038.3701171875
2025-11-17,4794.8359375
2025-11-18,4773.8759765625
2025-11-19,4681.8125
2025-11-20,4574.34814453125
2025-11-21,4758.89501953125
2025-11-24,4866.06005859375
2025-11-25,4896.87109375
2025-11-26,4902.47021484375
2025-11-28,4905.3046875
2025-12-01,4882.46875
2025-12-02,5125.263671875
2025-12-03,5037.57177734375
2025-12-04,5017.60009765625
2025-12-05,5197.0400390625
2025-12-08,5177.39013671875
2025-12-09,5195.759765625
2025-12-10,5277.2001953125
2025-12-11,5279.68017578125
2025-12-12,5301.64013671875
2025-12-15,5457.7001953125
2025-12-16,5436.93017578125
2025-12-17,5340.97998046875
2025-12-18,5345.47021484375
2025-12-19,5393.740234375
2025-12-22,5406.990234375
2025-12-23,5439.27001953125
2025-12-24,5446.509765625
2025-12-26,5440.14013671875
2025-12-29,5441.330078125
2025-12-30,5427.14990234375
2025-12-31,5355.330078125
